Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,36-15,19-6,17-9,20-11,16-4,6-1,5-5,9-5,3-2,6-2,7-0,36-15,0-0,3-4,19-7,4-2,14-2,8-6,10-5,0-0,0-0,0-0
2,Denver Nuggets,34-16,22-4,12-12,9-6,25-10,1-3,4-2,4-1,9-4,9-3,7-3,34-16,0-0,6-5,18-8,4-3,10-4,9-5,11-4,0-0,0-0,0-0
3,Milwaukee Bucks,33-17,20-5,13-12,19-13,14-4,7-3,7-4,5-6,7-0,2-1,5-3,33-17,0-0,4-0,16-10,6-0,9-5,8-7,10-5,0-0,0-0,0-0
4,Memphis Grizzlies,32-18,21-3,11-15,17-3,15-15,5-2,6-0,6-1,5-6,4-7,6-2,32-18,0-0,3-5,19-10,4-3,8-6,10-4,10-5,0-0,0-0,0-0
5,Philadelphia 76ers,32-17,19-8,13-9,18-11,14-6,5-3,7-3,6-5,5-2,8-0,1-4,32-17,0-0,6-3,15-7,4-4,8-6,9-4,11-3,0-0,0-0,0-0
6,Brooklyn Nets,31-19,15-8,16-11,21-10,10-9,6-4,5-6,10-0,3-1,4-3,3-5,31-19,0-0,6-1,13-9,2-5,10-6,12-1,7-7,0-0,0-0,0-0
7,Cleveland Cavaliers,31-21,21-5,10-16,18-9,13-12,4-6,8-3,6-0,4-5,5-5,4-2,31-21,0-0,4-6,21-8,5-1,9-7,9-6,8-7,0-0,0-0,0-0
8,Los Angeles Clippers,28-25,14-11,14-14,11-10,17-15,2-4,4-2,5-4,3-9,4-4,10-2,28-25,0-0,4-2,14-16,3-4,10-6,8-7,7-8,0-0,0-0,0-0
9,Miami Heat,28-23,17-9,11-14,12-14,16-9,3-5,3-6,6-3,5-3,7-3,4-3,28-23,0-0,10-6,7-6,2-5,8-7,9-6,9-5,0-0,0-0,0-0
10,Sacramento Kings,28-21,16-11,12-10,12-11,16-10,2-5,6-1,4-5,5-3,5-5,6-2,28-21,0-0,5-6,11-8,2-4,9-5,8-6,9-6,0-0,0-0,0-0
11,Dallas Mavericks,27-25,18-9,9-16,8-13,19-12,5-3,1-6,2-4,7-7,6-3,6-2,27-25,0-0,7-6,8-10,3-3,7-7,11-6,6-9,0-0,0-0,0-0
