Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Boston Celtics,27.3,36,15,34,17,5.47,-0.33,5.14,117.5,112.0,+5.5,98.8,.257,.472,.598,,.559,12.1,22.1,.213,,.532,11.5,78.3,.178,,TD Garden,459744,18390
2,Cleveland Cavaliers,25.5,31,22,34,19,4.47,0.12,4.59,114.9,110.3,+4.6,95.5,.277,.376,.588,,.552,12.8,23.6,.214,,.536,13.9,77.8,.203,,Rocket Mortgage Fieldhouse,505232,18712
3,Memphis Grizzlies,24.5,32,18,32,18,4.38,-0.24,4.14,114.3,110.0,+4.3,101.6,.272,.355,.560,,.530,12.1,29.1,.195,,.521,13.2,75.9,.206,,FedEx Forum,413164,17215
4,Denver Nuggets,26.5,35,16,31,20,3.92,-0.23,3.69,118.1,114.1,+4.0,98.4,.265,.359,.607,,.579,13.5,24.9,.198,,.547,12.5,76.8,.211,,Ball Arena,514199,19044
5,Philadelphia 76ers,28.4,32,17,30,19,3.63,-0.39,3.25,115.9,112.3,+3.6,97.9,.285,.394,.601,,.559,12.8,21.1,.235,,.539,13.7,76.7,.220,,Wells Fargo Center,546054,20224
6,Sacramento Kings,25.4,28,21,29,20,3.00,-0.32,2.68,117.9,114.9,+3.0,101.0,.284,.418,.607,,.570,12.6,21.8,.225,,.553,12.6,77.5,.203,,Golden 1 Center,462119,17116
7,Brooklyn Nets,28.7,31,19,30,20,3.04,-0.24,2.80,116.0,113.0,+3.0,98.5,.246,.375,.613,,.583,13.4,19.3,.193,,.521,12.3,73.7,.221,,Barclays Center,406019,17653
8,Milwaukee Bucks,29.5,34,17,29,22,2.33,-0.23,2.10,113.3,111.0,+2.3,100.0,.253,.441,.570,,.540,13.3,26.2,.187,,.518,10.9,77.3,.179,,Fiserv Forum,453519,17443
9,New York Knicks,24.6,27,25,29,23,1.71,-0.10,1.61,116.1,114.3,+1.8,97.0,.285,.385,.564,,.524,11.4,28.8,.221,,.528,11.5,75.1,.206,,Madison Square Garden (IV),501397,19285
10,Phoenix Suns,27.8,27,25,28,24,1.46,-0.02,1.44,114.4,112.9,+1.5,97.9,.236,.369,.569,,.535,12.5,26.8,.187,,.533,13.3,75.2,.230,,Footprint Center,460917,17071
11,New Orleans Pelicans,25.7,26,26,28,24,1.31,-0.04,1.27,113.7,112.4,+1.3,99.9,.287,.348,.578,,.539,13.2,25.4,.224,,.546,13.7,77.2,.207,,Smoothie King Center,430240,16548
12,Utah Jazz,26.9,26,26,28,24,1.19,-0.05,1.14,117.0,115.9,+1.1,99.8,.267,.443,.590,,.555,13.2,26.6,.209,,.545,12.1,74.7,.209,,Vivint Arena,473356,18206
13,Oklahoma City Thunder,23.0,24,26,26,24,0.98,0.44,1.42,114.1,113.2,+0.9,101.1,.245,.359,.570,,.534,11.9,24.6,.195,,.536,14.2,72.9,.227,,Paycom Center,396999,15269
14,Toronto Raptors,25.8,23,29,27,25,0.50,0.40,0.90,115.3,114.8,+0.5,97.0,.276,.359,.555,,.513,10.4,27.5,.218,,.566,15.1,76.1,.224,,Scotiabank Arena,534061,19780
15,Dallas Mavericks,28.0,27,25,27,25,0.38,-0.01,0.38,115.8,115.4,+0.4,95.7,.318,.488,.594,,.559,11.5,18.5,.236,,.545,12.5,75.8,.231,,American Airlines Center,543970,20147
16,Portland Trail Blazers,25.7,24,26,26,24,0.38,-0.30,0.09,116.3,115.9,+0.4,97.7,.300,.405,.598,,.559,13.6,24.6,.236,,.546,12.1,75.7,.215,,Moda Center,467079,18683
17,Miami Heat,27.8,29,23,27,25,0.31,-0.02,0.29,111.2,110.9,+0.3,96.9,.257,.406,.563,,.522,12.3,22.8,.211,,.555,15.2,78.6,.196,,FTX Arena,511515,19674
